Timestamp,Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Permissions,Age_Group,Age Group
2022-09-01 17:48:55,18.0,YouTube Music,6.0,True,False,False,EDM,True,Yes,91.0,3,1,3,1,2,3,2,0,2,3,2,3,3,3,2,3,5.0,5.0,7.0,0.0,Improve,I understand.,0-18,0-18
2022-09-01 17:51:31,40.5,Other streaming service,3.0,True,False,False,Hip hop,True,Yes,127.0,2,0,2,1,2,3,3,0,2,3,0,1,3,2,2,0,4.0,6.0,8.0,1.0,Improve,I understand.,36-45,36-45
2022-09-01 18:02:53,28.0,Other streaming service,1.0,True,False,False,Lofi,True,Yes,82.0,2,1,1,1,1,2,2,1,2,3,1,2,2,1,2,2,4.0,8.0,5.0,0.0,Improve,I understand.,26-35,26-35
2022-09-01 18:10:41,22.0,Spotify,4.0,True,True,False,Lofi,True,No,141.0,1,1,0,2,0,1,2,0,0,3,1,2,1,1,3,0,9.0,10.0,6.0,7.0,Improve,I understand.,19-25,19-25
2022-09-01 18:11:35,40.5,YouTube Music,0.5,False,False,False,Classical,False,No,114.0,3,2,1,2,3,2,2,1,1,0,1,2,2,2,1,1,3.0,2.0,2.0,2.0,Improve,I understand.,36-45,36-45
2022-09-01 18:38:46,20.0,YouTube Music,8.0,True,False,False,Rock,True,Yes,148.0,0,1,1,2,0,0,1,0,0,1,2,1,2,0,3,2,6.0,2.0,2.0,1.0,Improve,I understand.,19-25,19-25
2022-09-01 19:08:55,40.5,YouTube Music,9.5,True,False,False,Rock,False,No,156.0,1,0,0,3,0,0,2,0,1,0,0,1,0,0,3,0,2.0,0.0,3.0,0.0,No effect,I understand.,36-45,36-45
2022-09-01 19:09:32,40.5,Spotify,1.5,True,True,False,Metal,False,No,185.0,1,0,1,0,0,0,1,0,0,0,2,0,1,0,1,1,10.0,8.0,0.0,4.0,Improve,I understand.,36-45,36-45
2022-09-01 19:36:54,14.0,Spotify,2.0,True,True,False,K pop,True,Yes,114.0,2,0,1,0,0,2,2,3,0,2,0,1,1,1,0,1,4.0,4.0,2.0,2.0,Improve,I understand.,0-18,0-18
2022-09-01 19:39:07,18.0,Spotify,3.0,True,True,False,Pop,True,Yes,120.0,2,0,2,1,0,3,2,3,3,2,1,3,3,3,2,2,7.0,8.0,6.0,2.0,Improve,I understand.,0-18,0-18
2022-09-01 19:39:49,25.0,Spotify,1.0,True,False,False,Pop,True,Yes,80.0,3,1,1,1,0,2,2,0,0,1,3,3,1,2,2,2,7.0,6.0,5.0,5.0,Improve,I understand.,19-25,19-25
2022-09-01 20:36:10,18.0,I do not use a streaming service.,1.0,True,False,True,Video game music,False,No,116.0,1,1,2,2,0,1,2,0,0,0,2,0,1,2,2,3,4.0,5.0,7.0,0.0,No effect,I understand.,0-18,0-18
2022-09-01 21:05:57,19.0,Spotify,5.0,True,False,False,Hip hop,False,Yes,99.0,1,3,2,1,1,3,0,1,3,0,1,2,2,3,1,2,10.0,7.0,0.0,0.0,Improve,I understand.,19-25,19-25
2022-09-01 21:07:33,40.5,I do not use a streaming service.,1.0,False,False,False,Pop,False,No,129.0,1,3,0,2,2,0,1,0,2,0,0,3,2,0,2,0,4.0,2.0,1.0,0.0,Improve,I understand.,36-45,36-45
2022-09-01 21:14:09,36.0,Pandora,1.0,True,False,False,Hip hop,False,No,131.0,2,0,0,0,0,3,0,0,0,0,0,3,2,2,2,0,7.0,6.0,2.0,3.0,Improve,I understand.,36-45,36-45
2022-09-01 21:24:34,14.0,Spotify,7.0,True,False,False,Lofi,True,Yes,95.0,0,0,0,0,0,2,0,0,0,3,0,3,0,2,0,1,3.0,2.0,8.0,0.0,Improve,I understand.,0-18,0-18
2022-09-01 21:44:49,20.0,Spotify,3.0,False,True,True,Hip hop,True,Yes,80.0,3,1,1,2,0,3,2,0,2,1,1,2,2,3,3,1,10.0,7.0,4.0,3.0,Improve,I understand.,19-25,19-25
2022-09-01 22:38:20,15.0,Spotify,3.0,True,False,False,K pop,True,Yes,204.0,1,0,1,0,0,3,2,3,0,0,0,1,2,3,2,3,4.0,0.0,0.0,0.0,No effect,I understand.,0-18,0-18
2022-09-01 23:11:19,19.0,I do not use a streaming service.,7.0,True,False,False,Rock,False,No,128.0,2,1,0,1,0,0,2,0,0,0,1,0,0,0,3,2,7.0,7.0,0.0,0.0,Improve,I understand.,19-25,19-25
2022-09-02 00:08:07,29.0,Spotify,8.0,True,False,False,EDM,False,Yes,140.0,1,2,3,2,0,2,1,0,0,1,2,0,0,3,3,3,6.0,7.0,4.0,1.0,Improve,I understand.,26-35,26-35
2022-09-02 00:20:40,24.0,Spotify,2.0,True,False,False,Metal,True,No,159.0,0,1,3,2,3,0,0,0,0,1,3,1,0,0,2,1,7.0,6.0,2.0,7.0,Improve,I understand.,19-25,19-25
2022-09-02 00:32:48,18.0,Apple Music,2.0,True,False,False,Pop,True,Yes,104.0,1,1,1,1,1,3,1,1,2,1,2,3,3,3,3,0,6.0,5.0,8.0,0.0,Improve,I understand.,0-18,0-18
2022-09-02 01:03:00,21.0,Spotify,2.0,True,False,False,Rock,True,Yes,97.0,2,0,0,2,0,1,1,1,0,1,0,3,1,1,3,1,10.0,10.0,2.0,3.0,Improve,I understand.,19-25,19-25
2022-09-02 01:59:54,19.0,Spotify,2.0,True,False,False,K pop,True,Yes,80.0,1,0,1,0,0,2,2,3,0,2,0,2,3,1,2,2,7.0,6.0,5.0,1.0,Improve,I understand.,19-25,19-25
2022-09-02 02:19:59,25.0,Spotify,4.0,False,False,False,Video game music,True,Yes,134.0,2,0,0,1,1,0,0,1,3,0,0,3,2,0,0,3,3.0,0.0,0.0,0.0,Improve,I understand.,19-25,19-25
2022-09-02 03:27:21,27.0,Other streaming service,4.0,True,False,False,Rap,True,No,135.0,1,0,0,0,0,2,1,2,0,2,0,1,0,3,1,1,7.0,6.0,6.0,5.0,Improve,I understand.,26-35,26-35
2022-09-02 03:32:55,40.5,Spotify,1.0,False,False,False,Rock,True,No,129.0,2,1,0,2,0,0,2,0,0,0,0,1,1,0,2,0,3.0,2.0,5.0,0.0,No effect,I understand.,36-45,36-45
2022-09-02 04:56:02,40.5,Other streaming service,1.0,False,False,False,Country,False,No,110.0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,1,0,5.0,1.0,1.0,1.0,Improve,I understand.,36-45,36-45
